suggested_action,mismatch_reason,cve_id,vendor,product,repo_key,github_url,ref_kind,source_tags,verdict,confidence,audit_reason,product_repo_relation,product_repo_relation_score,vendor_owner_relation,vendor_owner_relation_score,github_repo_http_status,github_repo_checked_url,github_repo_title,github_repo_description,stored_decision_rule,stored_fitness,recommended_action_by_repo,recommended_reason_by_repo,canonical_repo_key
reject,product mismatch: CPE product bc-csharp but GitHub repo is Bouncy Castle Java distribution,CVE-2020-15522,bouncycastle,bc-csharp,bcgit@bc-java,https://github.com/bcgit/bc-java/wiki/CVE-2020-15522,repo_or_file,Third Party Advisory,likely_product_repo_name_variant,medium,repo name is a variant of CPE product and owner/metadata supports product identity; v2 inserted this row from review decision,weak,0.272015,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,qualifier_removed_owner_weak_review,0.668,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2025-51497,adguard,adguard_for_safari,adguardteam@adguardforsafari,https://github.com/AdguardTeam/AdGuardForSafari,repo_or_file,Product,likely_product_repo_owner_diff,medium,product-repo name matches but owner differs from CPE vendor,compact_equal,1.000000,weak,0.664010,200,https://github.com/adguardteam/adguardforsafari,GitHub - AdguardTeam/AdGuardMiniForMac: AdGuard Mini for macOS · GitHub,AdGuard Mini for macOS. Contribute to AdguardTeam/AdGuardMiniForMac development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.8824035850287221,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,adguardteam@adguardminiformac
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2018-19246,php-proxy,php-proxy,athlon1600@php-proxy-app,https://github.com/Athlon1600/php-proxy-app/issues/134,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.080000,200,https://github.com/athlon1600/php-proxy-app,GitHub - Athlon1600/php-proxy-app: Web Proxy Application built on php-proxy library ready to be installed on your server · GitHub,Web Proxy Application built on php-proxy library ready to be installed on your server - Athlon1600/php-proxy-app,qualifier_removed_owner_weak_review,0.638,,,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2018-19784,php-proxy,php-proxy,athlon1600@php-proxy-app,https://github.com/Athlon1600/php-proxy-app/issues/139,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.080000,200,https://github.com/athlon1600/php-proxy-app,GitHub - Athlon1600/php-proxy-app: Web Proxy Application built on php-proxy library ready to be installed on your server · GitHub,Web Proxy Application built on php-proxy library ready to be installed on your server - Athlon1600/php-proxy-app,qualifier_removed_owner_weak_review,0.638,,,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2018-19785,php-proxy,php-proxy,athlon1600@php-proxy-app,https://github.com/Athlon1600/php-proxy-app/issues/140,issue,Exploit;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,left_subset_extra_qualifier,0.900000,weak,0.080000,200,https://github.com/athlon1600/php-proxy-app,GitHub - Athlon1600/php-proxy-app: Web Proxy Application built on php-proxy library ready to be installed on your server · GitHub,Web Proxy Application built on php-proxy library ready to be installed on your server - Athlon1600/php-proxy-app,qualifier_removed_owner_weak_review,0.638,,,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2020-15125,auth0,auth0.js,auth0@node-auth0,https://github.com/auth0/node-auth0/pull/507,pull,Patch;Third Party Advisory,likely_product_repo_name_variant,medium,repo name is a variant of CPE product and owner/metadata supports product identity,weak,0.566453,exact_norm,1.000000,200,https://github.com/auth0/node-auth0,GitHub - auth0/node-auth0: Node.js client library for the Auth0 platform. · GitHub,Node.js client library for the Auth0 platform. Contribute to auth0/node-auth0 development by creating an account on GitHub.,score_threshold,0.9480000000000001,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000339,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/413b42f4d770456508585c830cfcde95f9b0e93b#diff-54656f860db94b867ba7542430cd2ef0,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000340,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/790642084c4e0cadd47352054f868cc8397e2c00#diff-e5934feac8203ca0104ab291a3560a31,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000341,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/acaac81f96fec91ab45bd0412beaf9c3acd8defa#diff-e75226a9ca49217a7276b29242ec59ce,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000342,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/843c2e60f67d71faf81d236f448ebbe56c62c647#diff-25c3c78db788365f36839b3f2d3016b9,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000343,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/50a53068c094d6cff37659da33c9b4505becd389#diff-5578e61500abb2b87b300d3114bdfd7d,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000344,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/9385b0ebd277724b167fe1d1456e3c112112be1f,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000345,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/21dcb3d9744c83dcf2ff8fcee06dbca7bfa4ef35#diff-4439ce586bf9a13bfec05c0d113b8098,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000346,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/1127131c89021612c6eefa26dbe5714c194e7495#diff-d525a20b8acaed791ae2f0f770eb5937,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2016-1000352,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/9385b0ebd277724b167fe1d1456e3c112112be1f,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2017-13098,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/a00b684465b38d722ca9a3543b8af8568e6bad5c,commit,Issue Tracking;Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2018-1000180,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/22467b6e8fe19717ecdf201c0cf91bacf04a55ad,commit,Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2018-1000613,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/4092ede58da51af9a21e4825fbad0d9a3ef5a223#diff-2c06e2edef41db889ee14899e12bd574,commit,Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2020-28052,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/wiki/CVE-2020-28052,repo_or_file,Mitigation;Patch;Third Party Advisory,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,medium_likely_product_or_redirected_name_variant,CVE-2023-33201,bouncycastle,bc-java,bcgit@bc-java,https://github.com/bcgit/bc-java/commit/e8c409a8389c815ea3fda5e8b94c92fdfe583bcc,commit,Patch,confirmed_product_repo_owner_diff,high,product-repo name matches and GitHub title/description contains product identity,exact_norm,1.000000,weak,0.200000,200,https://github.com/bcgit/bc-java,GitHub - bcgit/bc-java: Bouncy Castle Java Distribution (Mirror) · GitHub,Bouncy Castle Java Distribution (Mirror). Contribute to bcgit/bc-java development by creating an account on GitHub.,ref_clean_repo_score_ge_threshold,0.72,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2017-7185,cesanta,mongoose_os,cesanta@mongoose,https://github.com/cesanta/mongoose/commit/b8402ed0733e3f244588b61ad5fedd093e3cf9cc,commit,Patch;Third Party Advisory,likely_product_repo_name_variant,medium,repo name is a variant of CPE product and owner/metadata supports product identity,medium_name_similarity,0.855842,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,0.9062974987950587,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2019-12951,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/commit/b3e0f780c34cea88f057a62213c012aa88fe2deb,commit,Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2019-13503,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/pull/1035,pull,Exploit;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2019-19307,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/1055,issue,Exploit;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2020-25756,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/1135,issue,Issue Tracking;Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2020-25887,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/1140,issue,Exploit;Issue Tracking,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2021-26528,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/1201,issue,Exploit;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2021-26529,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/1203,issue,Exploit;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2021-26530,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/1204,issue,Exploit;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2022-25299,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/commit/c65c8fdaaa257e0487ab0aaae9e8f6b439335945,commit,Patch;Third Party Advisory,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2023-2905,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/pull/2274,pull,Patch,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2023-34188,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/commit/4663090a8fb036146dfe77718cff612b0101cb0f,commit,Patch,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2025-51495,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose,repo_or_file,Product,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2025-65502,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/issues/3306,issue,Exploit;Issue Tracking,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2026-5244,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/,repo_or_file,Product,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2026-5245,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/,repo_or_file,Product,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2026-5246,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/,repo_or_file,Product,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2026-6985,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/releases/tag/7.21,release_tag,Product;Release Notes,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2026-6986,cesanta,mongoose,cesanta@mongoose,https://github.com/cesanta/mongoose/releases/tag/7.21,release_tag,Release Notes,confirmed_product_repo,high,product-repo and vendor-owner names match strongly,exact_norm,1.000000,exact_norm,1.000000,200,https://github.com/cesanta/mongoose,"GitHub - cesanta/mongoose: Embedded web server, with TCP/IP network stack, MQTT and Websocket · GitHub","Embedded web server, with TCP/IP network stack, MQTT and Websocket - cesanta/mongoose",score_threshold,1.0,manual_review,medium_likely_product_or_redirected_name_variant,
keep_review,product-adjacent/canonical/redirect/versioned repo ambiguity; do not auto-insert unless manually approved,CVE-2020-15145,getcomposer,composer-setup,composer@windows-setup,https://github.com/composer/windows-setup/commit/ca9f1435d368e3377e82d60ef0c7b795afa9f804,commit,Patch;Third Party Advisory,likely_product_repo_name_variant,medium,repo name is a variant of CPE product and owner/metadata supports product identity; v2 inserted this row from review decision,weak,0.201456,weak,0.749150,200,https://github.com/composer/windows-setup,GitHub - composer/windows-setup: The Windows installer for the Composer PHP Dependency Manager · GitHub,The Windows installer for the Composer PHP Dependency Manager - composer/windows-setup,qualifier_removed_owner_weak_review,0.8602025654937491,keep_review_not_auto_accept,medium_likely_product_or_redirected_name_variant,
